ICAO Code,IATA Code,Airport Name,City/Town,Country
AYGA,GKA,Goroka,Goroka,Papua New Guinea
AYMD,MAG,Madang,Madang,Papua New Guinea
AYMH,HGU,Mount Hagen,Mount Hagen,Papua New Guinea
AYNZ,LAE,Nadzab,Nadzab,Papua New Guinea
AYPY,POM,Port Moresby Jacksons International,Port Moresby,Papua New Guinea
AYWK,WWK,Wewak International,Wewak,Papua New Guinea
BGBW,UAK,Narsarsuaq,Narssarssuaq,Greenland
BGGH,GOH,Nuuk,Godthaab,Greenland
BGJN,JAV,Jacobshavn,Jakobshavn,Greenland
BGKK,KUS,Kulusuk,Kulusuk,Greenland
BGSF,SFJ,Kangerlussuaq Sondre Stromfjord,Sondrestrom,Greenland
BGTL,THU,Thule Air Base,Thule,Greenland
BIAR,AEY,Akureyri,Akureyri,Iceland
BIEG,EGS,Egilsstadir,Egilsstadir,Iceland
BIHN,HFN,Hornafjordur,Hofn,Iceland
BIHU,HZK,Husavik,Husavik,Iceland
BIIS,IFJ,Isafjordur,Isafjordur,Iceland
BIKF,KEF,Keflavik Nas,Keflavik,Iceland
BIKP,OPA,Kopasker,Kopasker,Iceland
BIPA,PFJ,Patreksfjordur,Patreksfjordur,Iceland
BIRK,RKV,Reykjavik,Reykjavik,Iceland
BISI,SIJ,Siglufjordhur,Siglufjordur,Iceland
BIVM,VEY,Vestmannaeyjar,Vestmannaeyjar,Iceland
CYAM,YAM,Sault Ste Marie,Sault Sainte Marie,Canada
CYAV,YAV,Winnipeg St Andrews,Winnipeg,Canada
CYAW,YAW,Shearwater,Halifax,Canada
CYAY,YAY,St Anthony,St. Anthony,Canada
CYAZ,YAZ,Tofino,Tofino,Canada
CYBB,YBB,Kugaaruk,Pelly Bay,Canada
CYBC,YBC,Baie Comeau,Baie Comeau,Canada
CYBG,YBG,Bagotville,Bagotville,Canada
CYBK,YBK,Baker Lake,Baker Lake,Canada
CYBL,YBL,Campbell River,Campbell River,Canada
CYBR,YBR,Brandon Muni,Brandon,Canada
CYCB,YCB,Cambridge Bay,Cambridge Bay,Canada
CYCD,YCD,Nanaimo,Nanaimo,Canada
CYCG,YCG,Castlegar,Castlegar,Canada
CYCH,YCH,Miramichi,Chatham,Canada
